session_code;id_in_session;participant_code;identifier;channel;opening;nickname;body;timestamp
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;What do you think about that? Do you have any questions?;1638806663
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;so what would you offer me?;1638806665
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;how about 580 ?;1638806668
fayuq490;6;4;fayuq4906;4-bestpricechatlab-12;#N/A;Buyer;Hello I would like to buy the smartphone you offer for 400 Euro. Are you in ? ;1638806669
fayuq490;17;4;fayuq49017;4-bestpricechatlab-20;#N/A;Buyer;can I ask how long you have been using it?;1638806669
fayuq490;3;4;fayuq4903;4-bestpricechatlab-14;#N/A;Buyer;thats waaaaaay too much;1638806671
fayuq490;16;4;fayuq49016;4-bestpricechatlab-17;#N/A;Buyer;Hi so I want to offer 500 for the phone. ;1638806672
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;400;1638806673
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;Hi;1638806674
fayuq490;1;4;fayuq4901;4-bestpricechatlab-8;#N/A;Buyer;how old is this phone?;1638806674
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;Hi, ;1638806677
fayuq490;23;4;fayuq49023;4-bestpricechatlab-16;#N/A;Buyer;450;1638806677
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;how about 800?;1638806679
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;my information is that 600 is way over marketprice;1638806682
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;no chancce at all;1638806687
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;What is your offer?;1638806688
fayuq490;42;4;fayuq49042;4-bestpricechatlab-24;#N/A;Seller;Hello, nice to meet you ;1638806689
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;I am willing to pay 460 ;1638806689
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;what is your information;1638806690
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;600;1638806692
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;400;1638806693
fayuq490;22;4;fayuq49022;4-bestpricechatlab-17;#N/A;Seller;Thats too little I am sorry, what would be your maximum price;1638806694
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;About 2 Years now but I want to buy a new one because of new tech. Its still in excellent condition;1638806697
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;it's way far from the market price;1638806698
fayuq490;19;4;fayuq49019;4-bestpricechatlab-19;#N/A;Buyer;What is the lowest price you would accept?;1638806698
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;450;1638806699
fayuq490;39;4;fayuq49039;4-bestpricechatlab-16;#N/A;Seller;why is that specific number for you?;1638806699
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;or I won't sell;1638806700
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;550;1638806704
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;Hello;1638806706
fayuq490;35;4;fayuq49035;4-bestpricechatlab-25;#N/A;Seller;Hello;1638806707
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;only few months I would say;1638806708
fayuq490;7;4;fayuq4907;4-bestpricechatlab-14;#N/A;Seller;The cellphone is a new buy, not older than 2 months;1638806708
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;also it's second hand;1638806710
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;This is still pretty high for this type of phone, even if it is well maintained. WOuld you be willing to sell for 460���? ;1638806711
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;do you think we could agree on a price between 400 and 800?;1638806711
fayuq490;32;4;fayuq49032;4-bestpricechatlab-18;#N/A;Buyer;Hello;1638806712
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;less than three;1638806712
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;Whats your offer;1638806713
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;Do you still have any interest?;1638806716
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;compared to market price 560 is okay;1638806716
fayuq490;28;4;fayuq49028;4-bestpricechatlab-24;#N/A;Buyer;Hi :) What is the lowest price you would accept?;1638806717
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;lets be fair to eachother with 500;1638806719
fayuq490;23;4;fayuq49023;4-bestpricechatlab-16;#N/A;Buyer;I guess we both benefit with that;1638806719
fayuq490;12;4;fayuq49012;4-bestpricechatlab-25;#N/A;Buyer;Hi;1638806720
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;600;1638806720
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;my phone is in a perfect condition, barely used;1638806721
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;:);1638806721
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;As the smartphone is in good condition , I had assumed 550 from my end;1638806725
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;450;1638806726
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;nearly new you would see;1638806728
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;ok;1638806729
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;what is your marketprice;1638806730
fayuq490;7;4;fayuq4907;4-bestpricechatlab-14;#N/A;Seller;The features are way better than any similar priced phones in the market;1638806731
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;:);1638806731
fayuq490;23;4;fayuq49023;4-bestpricechatlab-16;#N/A;Buyer;what would be your price;1638806734
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;460 is too low. can you come upto 575 ?;1638806734
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;500;1638806734
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;thanks mate!;1638806735
fayuq490;12;4;fayuq49012;4-bestpricechatlab-25;#N/A;Buyer;What is the lowest price you would accept?;1638806736
fayuq490;30;4;fayuq49030;4-bestpricechatlab-19;#N/A;Seller;The lowest I can do is 550;1638806737
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;400-600;1638806737
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;500;1638806737
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;well, once it was touched, than you lose 50% of the value;1638806741
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;460 is too low ;1638806742
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;wow;1638806742
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;600;1638806744
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;you know the rule;1638806744
fayuq490;17;4;fayuq49017;4-bestpricechatlab-20;#N/A;Buyer;I think that 580 is a high price for a used smartphone. It would have to be in perfect conditions for me to be willing to enter this deal;1638806745
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;450;1638806747
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;i can give you the best smartphone for only 600 Euro;1638806747
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;";)";1638806751
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;how is your bid���;1638806752
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;But, I can have other smartphone with same functions at 460;1638806752
fayuq490;35;4;fayuq49035;4-bestpricechatlab-25;#N/A;Seller;I'm selling my smartphone for 600���;1638806756
fayuq490;36;4;fayuq49036;4-bestpricechatlab-21;#N/A;Buyer;See you and wish you a nice day;1638806757
fayuq490;34;4;fayuq49034;4-bestpricechatlab-23;#N/A;Seller;Hi there! Are you German or English speaking? :);1638806757
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;And the phone is in a good condition ;1638806761
fayuq490;40;4;fayuq49040;4-bestpricechatlab-21;#N/A;Seller;same;1638806762
fayuq490;39;4;fayuq49039;4-bestpricechatlab-16;#N/A;Seller;thats true but since its 600 is the MRP, the phone has had some modification.;1638806763
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;so as the smartphone is approximately 950-1000 if you buy it new;1638806766
fayuq490;19;4;fayuq49019;4-bestpricechatlab-19;#N/A;Buyer;Ok, I can reach 530;1638806766
fayuq490;6;4;fayuq4906;4-bestpricechatlab-12;#N/A;Buyer;What is the lowest price you would accept? ;1638806766
fayuq490;1;4;fayuq4901;4-bestpricechatlab-8;#N/A;Buyer;I just found a new phone for 600, so I think 600 is a bit expensive if the phone is not brand new;1638806767
fayuq490;42;4;fayuq49042;4-bestpricechatlab-24;#N/A;Seller;Hi :) I had a look on the price range and I believe that my price would be around 600 euros;1638806767
fayuq490;33;4;fayuq49033;4-bestpricechatlab-12;#N/A;Seller;no way, not giving it up for less then 550. keeping in mind that prices go as high as 600 euros.;1638806769
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;I already have an offer of 500;1638806769
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;no, that is actually not true as I��m selling an iPhone and it is very popular :);1638806769
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;580;1638806769
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;we have different marketprice, mine is 300-500;1638806771
fayuq490;17;4;fayuq49017;4-bestpricechatlab-20;#N/A;Buyer;however if you have already been using it for 2 years this would probably have taken a toll on the battery of the phone;1638806772
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;470;1638806773
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;Since I like few features of this one, I would be ready for 500;1638806777
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;doesn't matter;1638806779
fayuq490;9;4;fayuq4909;4-bestpricechatlab-23;#N/A;Buyer;Hello, I��m interested buying your phone. After some research the market price is between 400 and 600���;1638806780
fayuq490;1;4;fayuq4901;4-bestpricechatlab-8;#N/A;Buyer;I would say 400;1638806781
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;This is still a lot of money. I was hoping you could come a bit closer to my offer, if possible? ;1638806782
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;second hand is second hand;1638806784
fayuq490;32;4;fayuq49032;4-bestpricechatlab-18;#N/A;Buyer;Yes. I really need this phone and �� am a student so what can we do about the price;1638806785
fayuq490;30;4;fayuq49030;4-bestpricechatlab-19;#N/A;Seller;530 is suitable for me. We can say it is a deal;1638806788
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;May I know the lowest price you can accept?;1638806789
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;570;1638806790
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;i can come down to 550;1638806791
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;i would offer you 500;1638806793
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;it also depends on the condition ;1638806793
fayuq490;9;4;fayuq4909;4-bestpricechatlab-23;#N/A;Buyer;I��m German;1638806795
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;470;1638806797
fayuq490;19;4;fayuq49019;4-bestpricechatlab-19;#N/A;Buyer;Nice, thanks;1638806797
fayuq490;32;4;fayuq49032;4-bestpricechatlab-18;#N/A;Buyer;What about 450?;1638806799
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;Done then, I am also ready for 500;1638806800
fayuq490;39;4;fayuq49039;4-bestpricechatlab-16;#N/A;Seller;its a good phone, so i think a 10 percent hit on the market price would be good;1638806800
fayuq490;23;4;fayuq49023;4-bestpricechatlab-16;#N/A;Buyer;I'm not sure if it really had some modification since I'm buying it as a scene hand phone from you;1638806802
fayuq490;6;4;fayuq4906;4-bestpricechatlab-12;#N/A;Buyer;i am not interested in a smartphone for more than 500 Euro. ;1638806802
fayuq490;17;4;fayuq49017;4-bestpricechatlab-20;#N/A;Buyer;Also considering the face paced market I am aware that a 2 year old phone is not up to the newest standarts;1638806803
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;that is too low for me ;1638806803
fayuq490;12;4;fayuq49012;4-bestpricechatlab-25;#N/A;Buyer;Okay, 600 is a bit too much for me. I can offer you 300���;1638806803
fayuq490;30;4;fayuq49030;4-bestpricechatlab-19;#N/A;Seller;Thank you;1638806804
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;no;1638806805
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;can not;1638806807
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;Lets average out between 500 and 550;1638806808
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;I can understand that. But if you look around online you can see that lower prices are for lower quality phones;1638806808
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;560;1638806809
fayuq490;3;4;fayuq4903;4-bestpricechatlab-14;#N/A;Buyer;if i am buying an almost new phone for 575, i might as well buy a new phone for 600, the 4% is negligible ;1638806809
fayuq490;1;4;fayuq4901;4-bestpricechatlab-8;#N/A;Buyer;450?;1638806809
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;you know the market price;1638806812
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;If it's in a good condition would you buy for 560?;1638806815
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;525 Final offer;1638806816
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;480;1638806820
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;my lower price will be 580;1638806822
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;I think 500 would be best price for me;1638806822
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;considering other sellers you should keep in mind that my phone is barely used ;1638806825
fayuq490;37;4;fayuq49037;4-bestpricechatlab-27;#N/A;Buyer;Hello;1638806828
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;like untouched ;1638806828
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;550;1638806830
fayuq490;16;4;fayuq49016;4-bestpricechatlab-17;#N/A;Buyer;I mean 500 and we exit both quickly and spare 10 min;1638806830
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;no because i can get it cheaper somewhere else;1638806831
fayuq490;34;4;fayuq49034;4-bestpricechatlab-23;#N/A;Seller;Perfekt, ich glaube wir k��nnten auch auf Deutsch fortfahren, es sei denn die Anleitung sagt etwas anderes;1638806832
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;what do you think;1638806833
fayuq490;9;4;fayuq4909;4-bestpricechatlab-23;#N/A;Buyer;I really want your phone but is it possible to lower the price?;1638806833
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;the middle price maybe work for both of us?;1638806833
fayuq490;23;4;fayuq49023;4-bestpricechatlab-16;#N/A;Buyer;I guess for the fact that you used it, we can indeed lower the price a bit;1638806834
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;490;1638806834
fayuq490;43;4;fayuq49043;4-bestpricechatlab-27;#N/A;Seller;hi;1638806834
fayuq490;28;4;fayuq49028;4-bestpricechatlab-24;#N/A;Buyer;I think that is a too expensive;1638806834
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;Would 500��� be fine for you? I guess this is a pretty good price for the phone ;1638806836
fayuq490;21;4;fayuq49021;4-bestpricechatlab-13;#N/A;Buyer;Hi, idea: We both agree on a very low price and then share the bonus received :D;1638806836
fayuq490;33;4;fayuq49033;4-bestpricechatlab-12;#N/A;Seller;well... you got yourself a deal then;1638806837
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;550;1638806839
fayuq490;17;4;fayuq49017;4-bestpricechatlab-20;#N/A;Buyer;therefore I think 580 is unjustified and I would propose a lower price, more in the range of 500-520;1638806839
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;Of course not but its still advanced enough to keep up with todays modern technology.;1638806839
fayuq490;10;4;fayuq49010;4-bestpricechatlab-11;#N/A;Buyer;350?;1638806840
fayuq490;39;4;fayuq49039;4-bestpricechatlab-16;#N/A;Seller;well if thats the case, then 540 is justified. ;1638806840
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;500;1638806842
fayuq490;7;4;fayuq4907;4-bestpricechatlab-14;#N/A;Seller;We can start negotiating then;1638806844
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;it functions perfectly, the battery is at its highest charging capacity ;1638806845
fayuq490;9;4;fayuq4909;4-bestpricechatlab-23;#N/A;Buyer;Achso na dann perfekt!;1638806845
fayuq490;28;4;fayuq49028;4-bestpricechatlab-24;#N/A;Buyer;What about 400?;1638806846
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;550;1638806847
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;its still in a very good condition;1638806849
fayuq490;34;4;fayuq49034;4-bestpricechatlab-23;#N/A;Seller;:D;1638806849
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;I am not willing to pay above market avg;1638806849
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;500 is still low;1638806850
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;500;1638806850
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;so how about 700?;1638806851
fayuq490;31;4;fayuq49031;4-bestpricechatlab-13;#N/A;Seller;thats nice;1638806852
fayuq490;3;4;fayuq4903;4-bestpricechatlab-14;#N/A;Buyer;how about 430?;1638806852
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;Even i THINK 550 IS PERFECT FOR ME;1638806854
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;pretty much like new;1638806854
fayuq490;32;4;fayuq49032;4-bestpricechatlab-18;#N/A;Buyer;Just 20 discount ? ;1638806854
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;since we spend the same amount of time;1638806854
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;no chance;1638806854
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;550;1638806855
fayuq490;35;4;fayuq49035;4-bestpricechatlab-25;#N/A;Seller;Sorry, this is way too less;1638806855
fayuq490;42;4;fayuq49042;4-bestpricechatlab-24;#N/A;Seller;My main goal is to reach a price we both agree, so I am oped to discuss the price ;1638806856
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;500 period;1638806857
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;how about 540;1638806857
fayuq490;34;4;fayuq49034;4-bestpricechatlab-23;#N/A;Seller;Am Preis kann man gerne was machen;1638806857
fayuq490;13;4;fayuq49013;4-bestpricechatlab-26;#N/A;Seller;Price of smartphone is 650 euro;1638806857
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;500;1638806858
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;hmm thats too low for me because I#ve taken such good care of it;1638806858
fayuq490;22;4;fayuq49022;4-bestpricechatlab-17;#N/A;Seller;530 and we have a deal ;1638806859
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;thats it;1638806860
fayuq490;37;4;fayuq49037;4-bestpricechatlab-27;#N/A;Buyer;I saw a smartphone that i like on ebay, and i got your contact ;1638806861
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;545;1638806862
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;lets close the deal at 525;1638806863
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;500;1638806863
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;I would be willing to do 550;1638806864
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;otherwise no deal;1638806864
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;hahahahaha ;1638806865
fayuq490;18;4;fayuq49018;4-bestpricechatlab-20;#N/A;Seller;but nothing less;1638806870
fayuq490;8;4;fayuq4908;4-bestpricechatlab-15;#N/A;Buyer;520���? ;1638806870
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;350 is less than my market price;1638806871
fayuq490;7;4;fayuq4907;4-bestpricechatlab-14;#N/A;Seller;How about 550?;1638806872
fayuq490;28;4;fayuq49028;4-bestpricechatlab-24;#N/A;Buyer;Yes, me too;1638806873
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;540;1638806875
fayuq490;16;4;fayuq49016;4-bestpricechatlab-17;#N/A;Buyer;515;1638806875
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;500;1638806876
fayuq490;5;4;fayuq4905;4-bestpricechatlab-8;#N/A;Seller;and we need to make the deal in 10 min, or we get nothing;1638806878
fayuq490;14;4;fayuq49014;4-bestpricechatlab-15;#N/A;Seller;535 ?;1638806878
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;How about 515;1638806878
fayuq490;15;4;fayuq49015;4-bestpricechatlab-10;#N/A;Seller;seems like someone was listening to Shirin David way too often ;1638806878
fayuq490;22;4;fayuq49022;4-bestpricechatlab-17;#N/A;Seller;530;1638806879
fayuq490;4;4;fayuq4904;4-bestpricechatlab-26;#N/A;Buyer;Okay ;1638806882
fayuq490;37;4;fayuq49037;4-bestpricechatlab-27;#N/A;Buyer;Could you give me details of the smartphone?;1638806883
fayuq490;31;4;fayuq49031;4-bestpricechatlab-13;#N/A;Seller;well this shouldn't be the case;1638806883
fayuq490;6;4;fayuq4906;4-bestpricechatlab-12;#N/A;Buyer;There will a lot of offers for 500 Euro. ;1638806886
fayuq490;32;4;fayuq49032;4-bestpricechatlab-18;#N/A;Buyer;Lets make it 500 ;1638806886
fayuq490;39;4;fayuq49039;4-bestpricechatlab-16;#N/A;Seller;what do you think ?;1638806887
fayuq490;46;4;fayuq49046;4-bestpricechatlab-18;#N/A;Seller;how much can u pay for maximum?;1638806888
fayuq490;34;4;fayuq49034;4-bestpricechatlab-23;#N/A;Seller;570��� kann ich gerne anbieten;1638806888
fayuq490;1;4;fayuq4901;4-bestpricechatlab-8;#N/A;Buyer;what do you think about 450?;1638806889
fayuq490;29;4;fayuq49029;4-bestpricechatlab-9;#N/A;Seller;540;1638806889
fayuq490;2;4;fayuq4902;4-bestpricechatlab-10;#N/A;Buyer;well i've got another comparison;1638806889
fayuq490;11;4;fayuq49011;4-bestpricechatlab-9;#N/A;Buyer;500;1638806890
fayuq490;28;4;fayuq49028;4-bestpricechatlab-24;#N/A;Buyer;500?;1638806890
fayuq490;48;4;fayuq49048;4-bestpricechatlab-22;#N/A;Seller;520 take or leave offer;1638806891
fayuq490;25;4;fayuq49025;4-bestpricechatlab-11;#N/A;Seller;i would agree to 470;1638806892
fayuq490;23;4;fayuq49023;4-bestpricechatlab-16;#N/A;Buyer;to be honest, nor 540 I could buy a brand new phone;1638806892
fayuq490;31;4;fayuq49031;4-bestpricechatlab-13;#N/A;Seller;how much would you pay;1638806895
fayuq490;41;4;fayuq49041;4-bestpricechatlab-22;#N/A;Buyer;My budget is 515 only;1638806896
fayuq490;4;4;fayuq4904;4-bestpricechatlab-26;#N/A;Buyer;I want it if the price is 500;1638806898
